"Decision by","Case number/name",Jurisdiction,"Date of decision","Relevant GDPR articles","Relevant EU laws","Relevant national/other laws","Type of decision & outcome",Fine,Parties,Contributor,Summary
"DPA: ANSPDCP (Romania)","Compania Națională Poșta Română",Romania,15.07.2020,32,,,"Investigation → Violation Found","9686.60 RON","Compania Națională Poșta Română
Compania Națională Poșta Română","Isabel Hahn","The Romanian National Post Company was fined 9,686.60 lei (2,000 euros) for failing to implement adequate technical and organizational security measures, which led to the unauthorized access of personal data belonging to 81 data subjects."
"DPA: ANSPDCP (Romania)","A.N.S.P.D.C.P. - SC Medicover SRL",Romania,,"32(1)(b), 32(2), 32(4)",,,"Investigation → Violation Found","2000 EUR","SC Medicover SRL
SC Medicover SRL","Andrada Mocanu","The Romanian DPA (ANSPDCP) fined SC Medicover SRL with €2,000 after completing an investigation concerning the operator and finding a violation of Article 32 GDPR, paragraphs (1)(b), (2) and (4)."
"DPA: ANSPDCP (Romania)",'-,Romania,15.10.2019,,"Article 13(2) Directive 2002/58/EC","Law n° 506/2004","Investigation → Violation Found","2000 EUR","Vodaphone Romania S.A",'-,"The ANSPDCP fined € 2.000 Vodafone România S.A. for violations of Article 13(1) Law no. 506/2004, read in conjunction with Article 13(5) of the same Law no. 506/2004 implementing the ePrivacy Directive."
"Court: AN",578/2021,Spain,26.02.2021,5(1)(d),,,,,"Canary Island Cars, S.L.","Paola L.","A car rental company filed an appeal with the Spanish National High Court against a Spanish DPA decision in which a fine of €25,000 was imposed for breaching the principle of accuracy. The Spanish National High Court dismissed the appeal and declared the decision in accordance with the law."
"DPA: APD/GBA (Belgium)",11/2022,Belgium,21.01.2022,"4(1), 4(11), 5(1)(a), 7, 12, 13","Article 5.3 ePrivacy Directive",,"Complaint → Partly Upheld",,,"Matthias Smet","The Belgian DPA issued a reprimand against a website owner for violating Article 12 and Article 13 GDPR and ordered them to comply with their processing register."
"DPA: APD/GBA (Belgium)",124/2021,Belgium,10.11.2021,"6(3), 13(1)(c)",,,"Complaint → Rejected",,,"Matthias Smet","The Belgian DPA considered that it was competent to review the lawfulness of data processing operations which, although having started before 25 May 2018, had continued after that date, but that it was not competent for one-off or multiple processing operations that only took place before then (i.e. before the application date of the GDPR)."
"DPA: APD/GBA (Belgium)",125/2021,Belgium,10.11.2021,"5(1)(b), 6(1)(f), 6(4)",,,"Complaint → Upheld",,,"Martijn Staal","The Belgian DPA issued a reprimand against a fitness club for violating Article 5(1)(b) and Article 6 GDPR by sharing the personal data of a member of the club with another member in the context of a payment dispute."
"DPA: APD/GBA (Belgium)",137/2021,Belgium,08.12.2021,"12(3), 14, 15, 17(1), 21(2)",,,"Complaint → Upheld","10000 EUR",,"Enzo Marquet","The Belgian DPA fined a company €10,000 for having bought and used a database for marketing purposes, without ensuring that this database had been gathered lawfully, and for failing to respect the rights of the data subjects, including the right to information, the right to object, and the right to erasure of personal data."
"DPA: APD/GBA (Belgium)",39/2022,Belgium,17.03.2022,"12(3), 17(1)","Article 13 ePrivacy Directive",,"Complaint → Upheld",,,kc,"The Belgian DPA reprimanded a controller for failing to delete a former client's personal data in violation of Article 17(1) GDPR, and for not handling the erasure request within the one-month period under Article 12(3) GDPR."
"DPA: APD/GBA (Belgium)",41/2022,Belgium,18.03.2022,"5(1)(c), 5(1)(e), 6(1)(e)",,,"Complaint → Rejected",,,kc,"The Belgian DPA held that a municipality was entitled to send emails to data subjects who had previously registered their email addresses for a campaign as volunteers."
"DPA: APD/GBA (Belgium)",56/2021,Belgium,26.04.2021,"5(2), 24, 25, 32",,,"Complaint → Upheld","100000 EUR",,'-,"The Belgian DPA fined a financial institution €100,000 for failing to implement adequate security measures to control employee access to the Belgian Central Credit Register in violation of Articles 32, 25, 24, and 5(2) GDPR."
"DPA: APD/GBA (Belgium)",04/2021,Belgium,20.01.2021,"5(1), 6, 7, 13, 24, 25, 28",,,"Complaint → Upheld","50000 EUR","Anonymous (Complainant)
National Service for the Promotion of Childcare products (Defendant)","Mathieu Desmet","The Belgian DPA (APD/GBA) issued a fine of €50,000 against a private company for collecting personal data from its target audience (pregnant mothers) without valid consent. Personal data collected was then transferred to this company's network of partners which processed the data for direct marketing purposes and sold it to other third parties in breach of the GDPR."
"DPA: APD/GBA (Belgium)",07/2021,Belgium,,"5(1), 6(1), 15(1), 32, 33",,,"Complaint → Upheld",,,"Enzo Marquet","The Belgian DPA (APD/GBA) held that intent is not a criterium to assess processing and that mistakenly sending an e-mail does not necessarily constitute a data breach as a human error does not always mean the technical and organisational measures are not adequate. Finally, the DPA held that merely receiving an e-mail is not processing."
"DPA: APD/GBA (Belgium)",10/2019,Belgium,25.11.2019,"5(1)(b), 5(1)(e), 6(4)",,LCA,"Complaint → Upheld",,Anonymous,'-,"A mayor used citizen's data to send letters for his re-election campaign. The Belgian DPA (APD/GBA) issued a warning and a fine of € 5000 for violation of the principle of purpose limitation."
"DPA: APD/GBA (Belgium)",11/2019,Belgium,25.11.2019,"5(1)(b), 5(1)(e), 6(4)",,LCA,"Complaint → Upheld","5000 EUR",Anonymous,'-,"The Belgian DPA (APD/GBA) imposed a fine of EUR 5000 for violation of the principle of purpose limitation."
"DPA: APD/GBA (Belgium)",12/2019,Belgium,17.12.2019,"4(11), 6(1)(a), 7, 12, 13","ePrivacy Directive",,"Investigation → Violation Found","15000 EUR",Anonymous,'-,"The Belgian DPA (APD/GBA) fined the defendant € 15000 for cookies placed without prior consent."
"DPA: APD/GBA (Belgium)",13/2019,Belgium,17.12.2019,"12, 15, 17",,,"Complaint → Upheld","2000 EUR",Anonymous,'-,"The Belgian DPA (APD/GBA) reaffirms the importance of the data subjects’ rights, especially when the data processing involves special categories of personal data as understood by Article 9 GDPR."
"DPA: APD/GBA (Belgium)",16/2020,Belgium,20.04.2020,"5(2), 24, 30(1), 30(5)",,"Article 6 §2 (1) of the videosurveillance law
Article 6 §2 (4) of the videosurveillance law","Investigation → Violation Found",,,'-,"The Belgian DPA finds that videosurveillance is a processing likely to result in a risk to the rights and freedoms and that a data controller that employs fewer than 250 persons is therefore still subject to Article 30(1) GDPR in this regard, having to establish a record of processing activities for videosurveillance."
"DPA: APD/GBA (Belgium)",17/2020,Belgium,,"12(3), 15(1), 15(3)",,,"Complaint → Upheld",,,'-,"The Belgian DPA (APD/GBA) ruled that a bank was subject to the GDPR in its capacity as a controller and should have answered access requests under Article 15 GDPR."
"DPA: APD/GBA (Belgium)",18/2020,Belgium,28.04.2020,"5, 31, 36, 38(1), 38(6)",,,"Investigation → Violation Found","50000 EUR",Anonymous,'-,"The Litigation Chamber of the Belgian DPA imposed a €50,000 fine on a company for non-compliance with the requirements relating to the appointment and function of a DPO under the GDPR."
"DPA: APD/GBA (Belgium)",19/2020,Belgium,29.04.2020,"5(1)(b), 5(1)(f), 5(2), 24, 32",,"Article 17 of the law organizing the national registry for natural persons","Complaint → Upheld",,,"Maïlys Lemaître","Belgium's DPA reasserts the principle of accountability in accordance article 24 GDPR and the necessity of documenting all processes and procedures resulting thereof."
"DPA: APD/GBA (Belgium)",24/2021,Belgium,17.02.2021,"6, 7(1), 7(3), 12, 13, 25, 30, 35(2), 35(7), 38",,"63,1","Investigation → Violation Found",,"Defendant :  Westtoer APB a public entity giving autonomous services in the area of tourism in the province of West -Flanders.","Mathieu Desmet","The Belgian DPA (APD/GBA) assessed whether the defendant (an autonomous provincial public entity for tourism) breached the GDPR by placing intelligent cameras to count passer-by at specific locations during the Covid-19 pandemic. The DPA assessed the legal basis for this processing and whether the principles of privacy by design and by default provided data subjects with transparent information concerning this processing."
"DPA: APD/GBA (Belgium)",31/2020,Belgium,16.06.2020,"5(1)(c), 5(1)(a), 6(1)(a), 6(1)(c), 8, 12(1), 13, 35",,,"Complaint → Partly Upheld","2000 EUR",,'-,"The APD/GBA (the Belgian DPA) found that a schoolboard violated the data minimisation and transparency principles of the GDPR, and processed data unlawfully by submitting a detailed ""wellbeing"" survey to a group of 12 year old pupils at a school without obtaining the consent of their parents."
"DPA: APD/GBA (Belgium)",33/2020,Belgium,19.06.2020,"5, 5(1)(c), 6(1), 12(1), 12(3), 15",,,"Complaint → Upheld","10000 EUR",,'-,"The APD/GBA (Belgian DPA) fined a controller 10,000 EUR for continuing to send a complainant marketing emails after he requested they stop, and for failing to fulfil the complaint's right to access information about the processing by the controller."
"DPA: APD/GBA (Belgium)",34/2020,Belgium,23.06.2020,"5(1)(b), 6(1), 12, 13, 14",,,"Investigation → Violation Found",,,'-,"GBA found that the use of personal data obtained from the national data-bank of vehicles by insurance companies for the purpose of creating personalized price offers constitutes violation of Articles 5, 6, 12, 13 and 14 of GDPR. The agency that maintains this data base, the Federal Public Service Mobility and Transportation, was ordered to bring its data processing in compliance with Articles 5 and 6 within 6 months and Articles 12, 13 and 14 within 3 months. GBA has also issued a reprimand for the violation of Articles 12-14. No fines were issued because the predecessor of GBA  had reviewed and issued conditions under which this processing could be approved back in 2017 under the previous data protection law."
"DPA: APD/GBA (Belgium)",37/2020,Belgium,14.06.2020,17,,,"Complaint → Partly Upheld","600000 EUR",Google,'-,"The Belgian DPA (APD/GBA) fined Google Belgium €600000 for failing to respect a citizen's right to be forgotten, after Google refused its request to delist obsolete articles that were damaging to its reputation."
"DPA: APD/GBA (Belgium)",37/2021,Belgium,16.03.2021,"5(1)(b), 5(1)(c), 6(1)(e), 25",,,"Complaint → Upheld",,"Mrs Y (The Complainant)
Y representing Y1 (Defendant - Public body)","Mathieu Desmet","The Belgian DPA (APD/GBA) ordered the defendant (a public institution) to comply with the principles of purpose limitation and data minimization, by removing the mention of the title of nobility from the identity card of the complainant."
"DPA: APD/GBA (Belgium)",42/2020,Belgium,30.06.2020,"2(1), 4(7), 6(1)(f)",,,"Complaint → Rejected",,,'-,"Belgium DPA looked into the complaint of a person whose Facebook profile picture was shared by the defendant by email without his consent. The organization that shared the picture was looking to comply with the prior judgement of the Sports Court prohibiting the complainant from attending training sessions, championships or other competitions organized by one defendant.  Belgium DPA decided that  this kind of processing was allowed under the legal basis of legitimate interest of the controller."
"DPA: APD/GBA (Belgium)",54/2021,Belgium,22.04.2021,"4, 5, 6, 24",,,"Complaint → Upheld",,,Fra-data67,"The Belgian DPA reprimanded an entity in charge of paying family allowances to its members for failure to comply with Articles 4, 5, 6 and 24 GDPR, in relation to the processing of a data subject's 'household composition' data."
"DPA: APD/GBA (Belgium)",56/2021,Belgium,26.04.2021,"5(2), 24, 25, 32",,,"Complaint → Upheld","100000 EUR",,'-,"The Belgian DPA fined a financial institution €100,000 for failing to implement adequate security measures to control employee access to the Belgian Central Credit Register in violation of Articles 32, 25, 24, and 5(2) GDPR."
"DPA: APD/GBA (Belgium)",73/2020,Belgium,13.11.2020,"5, 6, 12, 13, 15, 30, 37(5), 37(7), 38(1), 83(7)",,"Art. 6 § 2 Camera law
Art. 6 § 3 Camera law","Complaint → Partly Upheld","1500 EUR",,"Enzo Marquet","The Belgian DPA (APD/GBA) imposed an administrative fine of €1500 on a social housing company for breaching several fundamental principles and obligations of the GDPR."
"DPA: APD/GBA (Belgium)",81/2020,Belgium,23.12.2020,"5(1)(c), 5(2), 12(1), 12(2), 12(3), 14(1), 14(2), 15(1), 24(1), 24(2)",,,"Complaint → Upheld","50000 EUR","Anonymous (Complainant - physical person)
Anonymous (Defendant 1 - a company specialized in controlling the respect of street parking regulations.)
Anonymous (Defendant 2- a bailiff's study)","Mathieu Desmet","The Belgian DPA (APD/GBA) imposed a fine of €50,000 and €15,000 on two different data controllers for breaching various principles of the GDPR, such as the principles of lawfulness, data minimisation and  accountability."
"DPA: APDCAT (Catalonia)","IAI 68/2021 - IAI 71/2021",Spain,04.11.2021,"9, 10, 86",,"Article 2(3) Spanish law regulating rights of access to information, public participation and access to justice in environmental matters
Article 83 Spanish law on environmental prevention and control of activities
Article 27 Spanish Data Protection Act","Advisory Opinion",,,"Cesar Manso-Sayao","The Catalan DPA issued an opinion stating that access to document requests of administrative proceedings for environmental infringements should not include the personal data of individual polluters, except in cases of “very serious” infringements."
"DPA: APDCAT (Catalonia)","PS 28/2021",Spain,13.09.2021,"5(1)(f), 13, 25(1)",,,"Complaint → Upheld",,"Ajuntament de Tiana","Carmen Villarroel","The Catalan DPA issued a reprimand to a city council for creating a WhatsApp group that allowed participants to see the names, phone numbers and profile pictures of other participants, without taking into account the data protection by design principle and without properly providing the information required by Article 13 GDPR."
"DPA: AP (The Netherlands)",CP&A,Netherlands,,"4(15), 9, 32",,,"Investigation → Violation Found",15000,"CP&A B.V",'-,"The Dutch DPA fined a maintenance company €15,000 for processing the health data of sick employees, and for failing to implement appropriate security measures regarding such processing."
"DPA: AP (The Netherlands)","PVV Overijssel",Netherlands,11.05.2021,"4(12), 9(1), 33(1)",,,"Complaint → Upheld","7500 EUR","Stichting Ondersteuning Provinciale Fractie Overijssel Partij voor de Vrijheid
Autoriteit Persoonsgegevens","Kave Noori","The Dutch DPA fined a provincial political party €7,500 for the unauthorised disclosure of a mailing list containing 101 email addresses, and for failing to notify this breach to the DPA. The email addresses constituted special category data revealing political party opinions."
"DPA: AP (The Netherlands)","Employee Insurance Agency (UWV)",Netherlands,31.07.2018,32,,,"Investigation → Violation Found",,,"GDPR MASTer Project","The Dutch DPA fined €150,000/month (until requirements are met) the employer portal UWV, handling employee health data, due to insufficiently secure access control to its portal."
"DPA: AZOP (Croatia)","Decision 13-03-2020",Croatia,13.03.2020,"15(1), 15(3)",,,"Investigation → Violation Found",,,'-,"The Croatian Personal Data Protection Agency (the AZOP) imposed a fine on a bank which failed to answer to a subject acess request and thus, infringed Article 15(3) GDPR."
"DPA: AZOP (Croatia)","Decision 22-02-2021",Croatia,22.02.2021,"32(1)(b), 32(1)(d), 32(2), 32(4)",,,"Complaint → Upheld",0,"Security company (name N/A at the moment)","Lejla Rizvanovik","The Croatian DPA (AZOP) found that the leading security company in Croatia, acting as a data processor, enabled the data breach by not maintaining adequate and sufficient technical and organizational measures for personal data security for more than two and a half years."
"Court: ArbG Düsseldorf","9 Ca 6557/18",Germany,05.03.2020,"6(1)(c), 6(1)(f), 6(1)(d), 15(1), 15(2), 15(3), 82(1)","Article 8(2) CFR
Article 4(3) TEU","Article 1(1) GG
Article 2(1) GG
§ 130(1) BGB
§ 253(2)2 ZPO
§ 26 BDSG
§ 275(1) BGB
§ 286 ZPO
§ 286(1) ZPO
§ 288 (1) BGB
§ 291 BGB
§ 362(1) BGB
§ 823(1) BGB",,,,ManTechnologist,"The claim for a data copy under Article 15(3) GDPR can be objected to on the basis of the principle of good faith that the efforts of the person responsible are grossly disproportionate to the interests of the claimant."
"Court: BAC","№ 11179",Bulgaria,20.08.2020,5(1)(c),,,,,"Administrative body: Regional Inspectorate for Environment and Water - Montana
Data subject: I.Nikolov","Monika Dafinova","The Supreme Administrative Court of Bulgaria (BAC) decided that the Regional Inspectorate for Environment and Water - Montana violated the principle of data minimisation as prescribed my Article 5, para. 1, b. 'c' of the GDPR, with regards to document content."
"Court: BAG","2 AZR 235/21",Germany,16.12.2021,"15(1), 15(3)",,"§ 253(2)(Nr. 2) ZPO",,,,"Sara Horvat","The German Federal Labour Court rejected a claim to access personal data under Article 15 GDPR. It found the claim to be inadmissible because it used terms which are not included in Article 15(1) GDPR, and which are ambiguous."
"Court: BGH","I ZR 2/21",Germany,24.02.2022,"6(1)(f), 85(1), 85(2), 4(1)",,"§ 22 KUG
§ 23 KUG",,,"Tina Tuner
Cofo Entertainment","Sara Horvat","The German Supreme Court held that in a case concerning a Tina Turner lookalike for a tribute show, artistic freedom outweighed Tina Turner's personality rights in application of German copyright law, which requires the same balancing exercise as Article 6(1)(f) GDPR."
"Court: BGH","VI ZB 39/18",Germany,24.09.2019,"6(1)(c), 6(1)(e), 6(4), 23(1)(j)",,"German Telemedia Act (TMG)",,,anonymous,'-,"The German Federal Court of Justice ruled on the disclosure of personal data for the enforcement of civil law claims."
"Court: BGH","VI ZR 14/21",Germany,22.02.2022,"6(1)(f), 15(1)(g)","Article 7 CFR
Article 8 CFR",,,,"Tenant
Landlord",kc,"The German Supreme Court held that the right of access to the source of personal data not collected directly from the data subject under Article 15(1)(g) GDPR may outweigh the source's right to data protection when the accuracy of the information is in question."
"Court: BGH","BGH VI ZR 405/18",Germany,27.07.2020,17(1),,,,,,'-,"The BGH dismissed the plaintiff's appeal regarding the right to be forgotten (Article 17 GDPR) on the grounds that his interests do not outweigh those of internet users and press organs."
"Court: BGH","BGH VI ZR 476/18",Germany,22.07.2020,17(3)(a),"Article 7, 8, 11, 16 Charter of Fundamental Rights of the European Union",,,,,'-,"The Bundesgerichtshof stayed proceedings and referred two questions to the Court of Justice of the European Union for a preliminary ruling."
"Court: BGH","VI ZR 692/20",Germany,15.02.2022,"6(1)(f), 17(1)","Article 11 CFR
Article 16 CFR
Article 7 CFR
Article 8 CFR",,,,Jameda,kc,"The German Supreme Court held that a doctor did not have the right to have her basic data deleted from a doctor search and rating platform after weighing both of their legitimate interests pursuant to Article 6(1)(f) GDPR."
"Court: BVerfG","1 BvR 16/13",Germany,06.11.2019,17,,"Article 1(1) Grundgesetz
Article 2(1) Grundgesetz
Article 5(1) Grundgesetz
Article 5(2) Grundgesetz",,,"Der Spiegel",'-,"The German Federal Constitutional Court (Bundesverfassungsgericht - BVerfG) issued two decisions in parallel proceedings regarding the “right to be forgotten”. In the first one it ruled that ""online press archives may be required to take measures protecting against the indefinite dissemination via search engines of news publications containing information relating to an individual"".  → See BVerfG - 1 BvR 276/17 for the other parallel decision."
"Court: BVerfG","1 BvR 276/17",Germany,06.11.2019,17,,"Article 23(1) Grundgesetz - GG
Article 7 CFR
Article 8 CFR
Article 11 CFR
Article 16 CFR
Article 8 ECHR",,,NDR,'-,"The German Federal Constitutional Court (Bundesverfassungsgericht - BVerfG) issued two decisions in parallel proceedings regarding the “right to be forgotten”. In the second one it ruled that ""when reviewing claims for injunctive relief against search engine operators, courts must take into account the freedom of expression afforded publishers of online contents"".  → See BVerfG - 1 BvR 16/13 for the other parallel decision."
"Court: BVerfG","1 BvR 2853/19",Germany,14.01.2021,82,"Article 267(3) TFEU","Article 101(1) GG",,,,'-,"The German Constitutional Court (BVerfG) ruled that AG Goslar (Goslar Local Court) should not have decided without a reference to the Court of Justice of the European Union for a preliminary ruling."
"Court: BVwG","W211 2210458-1/10",Austria,25.11.2019,"2(1), 4(7), 5(1)(a), 5(1)(c), 5(1)(e), 6(1)(f), 12, 13, 83(1), 83(2)(f), 83(5)(a)",,"Austrian Data Protection Act (DSG)",,,anonymous,'-,"Federal Administrative Court ruled that controllership follows from factually deciding on the means and purposes of the processing and not from a pure legal assessment of who owns the entity processing the personal data in question. It lowered a penalty of EUR 1,800 (for CCTV without signage, that filmed public streets and had a 14 day retention period instead of 72 hours under Austrian law) to EUR 1,500 - given the income level of the controller."
"Court: BVwG","W211 2221963-1",Austria,29.07.2020,"6, 21",,"§1 DSG
Article 133(4) B-VG
§7 GBG 1955",,,,"Agnieszka Rapcewicz","The Austrian Federal Administrative Court held that the land register is a publicly accessible file and even a cost reimbursement and identification obligation does not necessarily mean that data is not publicly accessible. General availability is to be understood as legal and not factual. The Court additionally stressed that it cannot be generally assumed that if data is public, it is not possible at all to infringe the right to privacy and that privacy is not worth protecting. Only in the case of mere reproduction of ""generally accessible data"" without generation of new information can a lack of protection within the meaning of the Data Protection Act actually be assumed. If ""new"" data is created, the permissibility of its use must be examined completely anew according to the provisions of the data protection provisions."
"Court: BVwG","W211 2222613-2/12E (request for preliminary ruling under Article 267 TFEU)",Austria,09.08.2021,15(3),"Article 267 TFEU",,,,"1. unknown (complainant before the Austrian Data Protection Autority)
2. CRIF GmbH (Austrian credit reference agency, respondent before the Austrian Data Protection Autority)
3. Datenschutzbehörde - DSB (Austrian Data Protection Authority)",'-,"The Austrian Federal Administrative Court requested the CJEU's preliminary ruling on the interpretation of Article 15(3) GDPR. In particular, it asked for clarification on the meaning and extent of ""a copy of the personal data undergoing processing"" and ""information""."
"Court: BVwG","W211 2222613-2/llE",Austria,09.08.2021,"5, 14, 15, 77",,,,,CRIF,'-,"The Austrian Federal Administrative Court held that mere abstract information on the storage period and lacking information on recipients of personal data constitute a violation of the GDPR. It also held that Article 77 GDPR grants an independent right to lodge a complaint with a DPA, irrespective of Member State law."
"Court: BVwG","W211 2223654-1",Austria,15.11.2019,,,"§ 8a VwGVG",,,Anonymous,'-,"Federal Administrative Court denies legal aid for an appeal from the DSB (Austria) over the right to access Article 15 GDPR."
"Court: BVwG","W214 2216836-1",Austria,24.03.2021,"4(1), 4(2), 5, 6(1)(f), 17",,"§ 152 GewO",,,,'-,"The Austrian Federal Administrative Court (BVwG) stated that frequent change of address has a negative impact on creditworthiness and that credit scoring companies may therefore process data concerning a person's former addresses. The court reaffirmed established standards of processing data for credit scoring purposes in light of Article 6(1)(f) of the GDPR."
"Court: BVwG","W214 2219800-3",Austria,26.04.2021,"5(1)(c), 5(1)(e), 58(2)(d), 77",,"§ 22a PassG 1992
§ 22b PassG 1992
§ 22c PassG 1992",,,,'-,"The Austrian Federal Administrative Court ruled that the storage of personal data on an identity document is justified for the entire duration of its validity, in particular to detect forgeries. In contrast, personal data from an old identity document must be deleted even if the data is the same as that of a new identity document."
"Court: BVwG","W214 2228164-1",Austria,21.04.2021,"4(1), 4(2), 5, 6(1)(f), 17",,"§ 152 GewO 1994
§ 1 DSG",,,,'-,"The Federal Administrative Court of Austria (BVwG) confirmed the standards for processing data for credit scoring purposes in light of Articles 5(1)(c), 5(1)(e) and 6(1)(f) GDPR and held that financial data may be stored for more than 5 years. This also applies to insolvency data, even if they are no longer allowed to be in the insolvency file under national law."
"Court: BVwG","W214 2230473-1",Austria,25.09.2020,"6, 57(1)(f)",,"Article 133 (4) B-VG
§1(1) DSG
§12 DSG
§24 DSG",,,,"Agnieszka Rapcewicz","The Austrian Federal Administrative Court held that since the camera installed in the building did not work (did not record the image), there was no processing of personal data, and further on, there was no infringement. The Court also pointed out that the mere impression of being ""observed"" does not constitute a violation of Section 1 (1) of the Data Protection Act. When it comes to the right to erasure, it can only be asserted as a subjective right in the context of a complaint procedure if the data subject has submitted such a request for erasure to the (alleged) controller in advance."
"Court: BVwG","W214 2235505-1",Austria,28.07.2021,6(4),"Artikel 8, 10 EMRK
Artikel 8, 10 GrCH","§ 1 DSG
§ 48a BAO
§§ 1-4 AuskunftspflichtG",,,"unknown journalist
Austrian Ministry of Finances",'-,"The Federal Administrative Court Austria granted a journalist access to information on financial aid issued by the Federal Ministry of Finance during to the COVID-19 pandemic. It only provided access to information on aid for corporate entities, not individual entrepreneurs."
"Court: BVwG","W256 2214855-1/6E",Austria,20.11.2019,6(1)(f),,"1 §1 DSG
2 §12 DSG
§28 VwGVG",,,Anonymous,'-,"Federal Administrative Court sends case back to Austrian DPA, DSB (Austria), as crucial facts were not investigated by the authority."
"Court: BVwG","W274 2224363-1",Austria,20.11.2020,"1, 4, 6, 9, 85",,"§1 (1) DSG
§9 DSG
§24 DSG
§133 (4) B-VG",,,,"Agnieszka Rapcewicz","The Austrian Federal Administrative Court (BVwG) held that publicly available data is not per se exempt from personal data protection. The assessment of whether protection should be granted in a given case to personal data accessible to the public which are subsequently published elsewhere must take into account the purpose of the further use of the personal data.  It must also be considered whether the further use of the data is necessary to achieve the other purpose. Thus, the Court found that the publication of a post on Facebook about prison conditions was unrelated to the purpose for which the court guard's data was published on a website containing officials' details and functions."
"Court: BVwG","W274 2230370-1/4E",Austria,,15(3),,,,,,'-,"The BVwG holds that there is no right to a copy of the documents relating to an exclusion from a religious community under Article 15 (3) GDPR, because they are - as paper files - no file system and therefore excluded from the GDPR."
"DPA: BayLDA (Bavaria)",LDA-1085.1-12159/20-IDV,Germany,15.03.2021,77,,,"Complaint → Upheld",,[...],'-,"The Bavarian DPA (""Bayrisches Landesamt für Datenschutzaufsicht"" - BayLDA) held that the use of the newsletter tool Mailchimp by a German company was unlawful as Mailchimp receives email adresses of newsletter subscribers and might qualify as an ""electronic communication service provider"" under US surveillance law."
"DPA: BfDI (Germany)","24-191 II#4781",Germany,27.01.2022,"15, 20, 95","Article 7 Directive 2002/58/EC","§ 11 Telekommunikation-Telemedien-Datenschutz-Gesetz (TTDSG)","Complaint → Partly Upheld",,"anonymous
Deusche Telekom AG","Heiko Hanusch","The German Federal DPA issued a decision specifying which data a telecommunications and internet company should provide to a data subject when handling an access request under Article 15 GDPR."
"DPA: BlnBDI (Berlin)",521.13874,Germany,15.10.2021,"6(1)(a), 6(1)(f), 12(3), 15(1), 28, 58(2)(b)",,"§ 7(2)(3) UWG
§ 7(3)(4) UWG","Complaint → Upheld",,,"Benjamin Altpeter (Baltpeter)","The DPA of Berlin (the BlnBDI) issued a reprimand to an eBay-shop for violating Article 6(1) GDPR since they sent newsletters to a customer without consent, Article 12(3) GDPR for not responding to their access request within one month, and Article 15(1) GDPR for not providing all information listed in the provision."
"Court: CE",393099,France,21.04.2021,,,"Décret n° 2015-1185 du 28 septembre 2015 portant désignation des services spécialisés de renseignement
Décret n° 2015-1639 du 11 décembre 2015 relatif à la désignation des services autres que les services spécialisés de renseignement, autorisés à recourir aux techniques mentionnées au titre V du livre VIII du code de la sécurité intérieure, pris en application de l'article L. 811-4 de ce code
Décret n° 2016-67 du 29 janvier 2016 relatif aux techniques de recueil de renseignement",,,"La Quadrature du Net
French Data Network
Igwan.net
Fédération des fournisseurs d'accès à internet associatifs",'-,"The French Supreme Administrative Court (Conseil d'Etat) ruled that the French legal framework on access to and retention of connection data for the purposes of combating crime and safeguarding national security is compatible with the EU law requirements, as interpreted by the CJEU."
"Court: CE",431875,France,10.06.2021,"4, 9",,"Article 28 de la loi n° 84-16 du 11 janvier 1984
Article 4 de la loi 78-17 du 6 janvier 1978
Article 6 de la déclaration du 26 août 1789 des droits de l'homme et du citoyen
Article 6 de la loi 78-17 du 6 janvier 1978
Décret n°63-280 du 19 mars 1963
Décret n°95-979 du 25 août 1995 modifié
L. 761-1 du code de justice administrative
L. 821-2 du code de justice administrative
L. 911-1 du code de justice administrative",,,"Ministère de l'économie, des finances et de la relance
M. B... A...-C...",'-,"The French Council of State held that an information mentioning the fact that a person is disabled, without any detail on the type or gravity of the disability, could not be considered as data concerning health under Article 9 GDPR."
"Court: CE",433555,France,21.12.2020,"15, 23",,,,,"Ministère de l'Intérieur
Mme A",Kest,"The French Supreme Administrative Court (Conseil d'Etat) held that the legal procedure applicable to the exercise of the right of access and the right to erasure of personal data processed for national security purposes is compliant with Article 15 and Article 23 GDPR."
"Court: CE",439360,France,13.04.2021,5,"Article 15 Directive (UE) 2016/680
Article 8 Charter of Fundamental Rights of the Europan Union
Article 121 Directive (UE) 2016/680","Article 107 Loi Informatique et Libertés
Article 110 Loi Informatique et Libertés
Article 22 French Constitution of 1958
Article 31(II) Loi Informatique et Libertés
Article 4 Loi Informatique et Libertés
Article 6 Loi Informatique et Libertés
Article 87 Loi Informatique et Libertés
Article 88 Loi Informatique et Libertés
Article 89 Loi Informatique et Libertés
Article 98 Loi Informatique et Libertés
Article L761-1 Code of administrative justice",,,"ADHEOS
AIDES
Association Mousse
Familles-A
Homosexualités et socialismes
Internet Society France
La Ligue des droits de l'homme
La Quadrature du Net
Stop Homophobie
Syndicat de la magistrature
Syndicat des avocats de France
La Ligue Internationale Contre le Racisme et l'Antisémitisme",Roka,"The French Highest Administrative Court invalidated part of a decree adopted by the Interior Ministry for infringing the GDPR, Convention 108 and Article 8 of the Charter of Fundamental Rights of the European Union. The decree authorised the collect and processing of special category data when necessary for judicial or administrative police activities, for preventive actions, investigatory or interventions."
